year,names
2018,NAWA Polish National Agency for Academic Exchange
2018,Botschaft der Republik Polen in der Bundesrepublik Deutschland
2018,National Science Centre Poland
2018,The National Centre for Research and Development
2018,Polska innowacyjna
2018,Polish Society of Arts and Sciences Abroad
2018,PLUGin Polish Innovation Diaspora
2018,SPACE3AC
2018,The Association of TOP 500 Innovators
2018,Ministry of Science and Higher Education
2018,Fundacja Wspolpracy Polsko-Niemieckiej                              Stiftung fur Deutsch-Polnische Zusammenarbeit
2018,Auswartiges Amt
2018,European Union and Republic of Poland
2018,Fundacja na rzecz Nauki Polskiej
2018,Black Pearls VC
2018,The Boston Consulting Group
2018,Ambasada Rzeczypospolitej Polskiej
2018,Ministry of Science and Higher Education
2018,The National Centre for Research and Development
2018,Nardowe Centrum Nauki
2018,The Association of TOP 500 Innovators
2018,British Council
2018,Oxford Unviersity Polish Society
2018,Cambridge Unviersity Polish Society
2018,Polish Society of Arts and Sciences Abroad
2018,Obywatele Nauki
2018,The Association of Polish Engineers in Great Britain
2018,PLUGin Polish Innovation Diaspora
2018,Science PR
2018,Polska innowacyjna
2018,Polish University Abroad
2018,Dialog
2018,Ministry of Science and Higher Education
2018,Year of Entrepreneurship Science and Innovation
2018,European Union and Republic of Poland
2021,Fundacja na rzecz Nauki Polskiej
2021,Minister Edukacji I Nauki
2021,Embassy of Switzerland in Poland
2021,Embassy of the republic of Poland in Bern
2021,pro science
2021,life science zurich
2021,swiss chamber poland
2021,PLUGin Polish Innovation Diaspora
2021,Warsw Itnernational Medical Congress
2021,BioFrontiers
2021,The Kosciuszko Foundation Alumni
2021,Polska innowacyjna
2021,ML in PL Association
2021,Polenmuseum Muzeum Polskie
2021,"Zurich, Switzerland"
2021,Fulbright Poland
2021,The Kosciuszko Foundation
2021,ASPOOL
2021,Perspektywy
2021,IMOL
2021,MeWell
2021,Dialog
2021,Ministry of Science and Higher Education
2022,European Union and Republic of Poland
2019,Ministry of Science and Higher Education
2019,British Embassy Warsaw
2019,Embassy of the republic of Poland in London
2019,Fundacja na rzecz Nauki Polskiej
2019,Ciech
2019,Science PR
2019,Fulbright Poland
2019,The Kosciuszko Foundation Alumni
2019,Impact
2019,BioFrontiers
2019,PLUGin Polish Innovation Diaspora
2019,Society of Spanish Researchers in the UK
2019,ML in PL Association
2019,Polska innowacyjna
2019,Cambridge Unviersity Polish Society
2019,Polish Society of Arts and Sciences Abroad
2019,The Association of Polish Engineers in Great Britain
2019,All the Most Important Things
2019,Dialog
2019,Ministry of Science and Higher Education
2019,European Union and Republic of Poland
2023,Ideas
2023,Human Biome Institute
2023,Lukasiewicz
2023,Nash Concept
2023,Aveth
2023,ETH Zurich
2023,Embassy of the Republic of Poland in Bern
2023,Kanton Zurich
2023,Stadt Zurich
2023,Tech Emerging Europe Advocates
2023,Poland Innovative
2023,Polish Tech Day
2023,life science zurich
2023,ML in PL Association
2023,BioForum
2023,pro science
2023,LS2
2023,Another Perspective
2023,Associaction of Hungarian PhD and DLA Candidates
2023,Medshare
2023,Partners Beyond
2023,Saventic Health
2023,"Zurich, Switzerland"
2023,Sympa Health
2023,Czexpats in Science
2023,Zijem Vedu
2023,Polish Club of Berkeley
2023,National Science Centre Poland
2023,Polish Professional Women
2023,Polish Investment & Trade Agency
2023,Sister Cities
2023,Taube Philanthropies
2023,Kancelaria Prezesa Rady Ministrow
2023,Stowarzyszenie Odra-Niemen
2023,ASUC
2023,South Bay Solutions Inc.
2023,The Embassy of the Republic of Poland in Washington D.C.
2023,Consulate General of the Republic of Poland in Los Angeles
2023,Polish Tech Day
2023,Polish Student Association at University of Virginia
2023,"Institute of Slavic, East European, and Eurasian Studies at UC Berkeley"
2023,Association of Hungarian PhD and DLA Candidates
2023,Nucleate
2023,The Copernicus Institute
2023,Fulbright Poland
2023,pro science
2023,Czexpats in Science
2023,Polish Scientific Network in Boston
2023,Emigration Museum
2023,Zijem Vedu
2023,Polish American Chamber of Commerce
2023,BioForum
2023,Polish Investment & Trade Agency
2023,Academie Polonaise des Sciences Centre Scientifique a Paris
2023,Emigration Museum
2023,Ambassade de la Republique de Pologne a Paris
2023,National Science Centre Poland
2023,Kobietynauki
2023,Women for Science
2023,Kopernika
2023,Polish Society Netherlands
2023,Symbioza
2023,BioForum
2023,Czexpats in Science
2023,Zijem Vedu
2023,pro science
2023,AMU
2023,SDPAN
2023,PolSCA
2023,Poland Innovative
2023,NCBR
2023,ASPOOL
2023,Science Business
2023,Polish Tech Day
2023,Association of Hungarian PhD and DLA Candidates
2023,Ministerstwo Edukacji i Nauki
2023,Polish Academy of Sciences
2023,Ideas
2023,Fundacja na rzecz Nauki Polskiej
2023,Warszawa
2023,AMU
2023,Emigration Museum
2023,Furora Foundation
2023,BioForum
2023,pro science
2023,Societas Humboldtiana Polonorum
2023,Tech Emerging Europe Advocates
2023,Fulbright Poland
2023,BEST
2023,Association of Hungarian PhD and DLA Candidates
2023,Czexpats in Science
2023,NCBR
2023,Bruksela Biuro Promocji Nauki PolSCA
2023,Nauka
2023,IAESTE Poland
2023,ITSP 
2023,WPT
2023,SILESIA
2023,Poland Innovative
2023,Symbioza
2023,Zijem Vedu
2023,Women for Science
2023,Euro-Centrum
2023,SKALP
2023,Narodowe Muzeum Techniki
2023,National Centre for Nuclear Research Swierk
2023,Kozminski University
2024,Paris Scientific Center Polish Academy of Sciences
2024,Ministry of Foreign Affairs Republic of Poland
2024,Komitet Do Spraw Pozytku Publicznego & NIW & PROO
2024,Czexpats in Science
2024,AMU
2024,ML in PL Association
2024,ASPOOL
2024,BioForum
2024,pro science
2024,Poland Innovative
2024,Symbioza
2024,ConnectsUK
2024,Ministry of Foreign Affairs Republic of Poland
2024,Komitet Do Spraw Pozytku Publicznego & NIW & PROO
2024,Ambasciata di Polonia a Roma
2024,Consolato Generale della Repubblica di Polonia in Milano
2024,Rome Scientific Center Polish Academy of Sciences
2024,Columbus Private
2024,Associazione dei Polacchi a Milano
2024,Polacy we Wloszech
2024,Czexpats in Science
2024,Gazzetta Italia
2024,AMU
2024,Symbioza
2024,BioForum
2024,Camdera d'Affari Polacca in Italia
2024,Association of Hungarian PhD and DLA Candidates
2024,Zijem Vedu
2024,pro science
2024,Polish Academy of Social Sciences and Humanities
2024,Poland Innovative
2018,Federation of Polish Student Societies in the UK
2018,Federation of Polish Student Societies in the UK
2018,Federation of Polish Student Societies in the UK
2019,Federation of Polish Student Societies in the UK
2019,Federation of Polish Student Societies in the UK
2019,Federation of Polish Student Societies in the UK
2019,Federation of Polish Student Societies in the UK
2018,Oxford University Polish Society
2018,NAWA Polish National Agency for Academic Exchange
2019,NAWA Polish National Agency for Academic Exchange
2021,NAWA Polish National Agency for Academic Exchange
2022,NAWA Polish National Agency for Academic Exchange
2023,NAWA Polish National Agency for Academic Exchange
2018,Fundacja na rzecz Nauki Polskiej
2023,Fundacja na rzecz Nauki Polskiej
2019,Fundacja na rzecz Nauki Polskiej
2021,Fundacja na rzecz Nauki Polskiej
2022,Fundacja na rzecz Nauki Polskiej
2019,DMU Polish Soceity
2019,University of Bristol Polish Society
2019,UCL Polish Society
2019,Lancaster University Polish Scoiety
2022,Lukasiewicz
2022,polpharma biologics
2022,Research in Poland
2022,VectorBuilder
2022,Ideas
2022,Google
2022,British Embassy Warsaw
2022,Embassy of the Republic of Poland in London
2022,Polish Investment & Trade Agency
2022,pro science
2022,SDPAN
2022,PLUGin Polish Innovation Diaspora
2022,Fulbright Poland
2022,The Kosciuszko Foundation Alumni
2022,Poland Innovative
2022,Fundacja Media Przyszlosci
2022,BioForum
2022,Gazeta Kongresy
2022,Biotechnologia.pl
2022,Manchester Polish Student Society
2022,Federation of Polish Student Societies in the UK
2022,Warwick University Polish Society
2022,Stowarzyszenie Technikow Polskich
2022,Eurokreator
2023,PolSCA
2023,Polish Academy of Sciences
2023,NCBR
2023,Embassy of the Republic of Poland in Brussels
2023,Polish Investment & Trade Agency
2023,BioFrontiers
2023,Polish Society Netherlands
2023,Science Business
2023,Candela
2023,PLUGin Polish Innovation Diaspora
2023,BioForum
2023,Polish Tech Day
2023,SDPAN
2023,Poland Innovative
2023,AMU
2022,Create
2022,Embassy of the Republic of Poland in Singapore
2022,SEC
